"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 20 18:51:13 UTC 2026","Mon Jul 20 18:51:35 UTC 2026","21118","","Student — registration","","com.flamingo.ui.tests.StudentRegistrationFormTests","userCanFillRegistrationFormUploadFileChooseDateAndSubmitFailedTest","User can fill registration form with picture and submit",""
"passed","Mon Jul 20 18:50:45 UTC 2026","Mon Jul 20 18:50:46 UTC 2026","233","","GraphQL — positive scenarios","","com.flamingo.tests.graphql.GraphQLPositiveTest","shouldReturnSingleMovieByIdWhenPosterIsMissing","single-entity query returns a movie without a poster",""
"passed","Mon Jul 20 18:50:41 UTC 2026","Mon Jul 20 18:50:47 UTC 2026","6033","","Booking — read","","com.flamingo.tests.rest.booking.GetBookingTest","userCanGetCreatedBookingById","User can get created booking",""
"passed","Mon Jul 20 18:50:45 UTC 2026","Mon Jul 20 18:50:45 UTC 2026","166","","GraphQL — positive scenarios","","com.flamingo.tests.graphql.GraphQLPositiveTest","shouldReturnSingleMovieById","single-entity query returns the movie by its ID",""
"passed","Mon Jul 20 18:50:45 UTC 2026","Mon Jul 20 18:50:45 UTC 2026","164","","GraphQL — positive scenarios","","com.flamingo.tests.graphql.GraphQLPositiveTest","shouldHonorGraphQLVariables","query uses GraphQL variables, not string interpolation",""
"passed","Mon Jul 20 18:50:45 UTC 2026","Mon Jul 20 18:50:45 UTC 2026","171","","GraphQL — positive scenarios","","com.flamingo.tests.graphql.GraphQLPositiveTest","shouldReturnListRespectingPaginationLimit","list query honors the pagination limit returns at most 3 movies when first=3",""
"passed","Mon Jul 20 18:50:41 UTC 2026","Mon Jul 20 18:50:46 UTC 2026","4659","","Booking — delete","","com.flamingo.tests.rest.booking.DeleteBookingTest","userCanDeleteBooking","User can delete booking",""
"passed","Mon Jul 20 18:50:45 UTC 2026","Mon Jul 20 18:50:45 UTC 2026","157","","GraphQL — negative scenarios","","com.flamingo.tests.graphql.GraphQLNegativeTest","nonExistentIdShouldReturnNullMovieAndNoErrors","valid but non-existent ID returns null data.movie and no errors",""
"passed","Mon Jul 20 18:50:41 UTC 2026","Mon Jul 20 18:50:45 UTC 2026","3305","","GraphQL — positive scenarios","","com.flamingo.tests.graphql.GraphQLPositiveTest","shouldResolveFragmentAndNestedFieldsAcrossTypes","query with fragment resolves nested types (moviePoster & publishedBy)",""
"passed","Mon Jul 20 18:50:45 UTC 2026","Mon Jul 20 18:50:45 UTC 2026","91","","GraphQL — positive scenarios","","com.flamingo.tests.graphql.GraphQLPositiveTest","shouldReturnListRespectingPaginationLimit","list query honors the pagination limit returns at most 5 movies when first=5",""
"passed","Mon Jul 20 18:51:14 UTC 2026","Mon Jul 20 18:51:34 UTC 2026","20291","","Student Parametrized tests","","com.flamingo.ui.tests.ParametrizedStudentRegistrationFormTests","userCanFillRegistrationFormAndSubmit","User can fill registration form and submit 1 — Required fields only",""
"passed","Mon Jul 20 18:50:41 UTC 2026","Mon Jul 20 18:50:47 UTC 2026","6070","","Booking — update","","com.flamingo.tests.rest.booking.UpdateBookingTest","userCanUpdateCreatedBooking","User can update created booking",""
"passed","Mon Jul 20 18:50:45 UTC 2026","Mon Jul 20 18:50:45 UTC 2026","226","","GraphQL — negative scenarios","","com.flamingo.tests.graphql.GraphQLNegativeTest","nonExistentFieldShouldReturnValidationError","query on a non-existent field returns a validation error",""
"passed","Mon Jul 20 18:51:13 UTC 2026","Mon Jul 20 18:51:34 UTC 2026","20611","","Student — registration","","com.flamingo.ui.tests.StudentRegistrationFormTests","userCanFillRegistrationFormUploadFileChooseDateAndSubmit","User can fill registration form and submit",""
"passed","Mon Jul 20 18:50:41 UTC 2026","Mon Jul 20 18:50:44 UTC 2026","3285","","GraphQL — negative scenarios","","com.flamingo.tests.graphql.GraphQLNegativeTest","malformedQueryShouldReturnSyntaxErrorAndNoData","malformed query returns errors[].message about syntax and no data",""
"passed","Mon Jul 20 18:50:45 UTC 2026","Mon Jul 20 18:50:45 UTC 2026","155","","GraphQL — positive scenarios","","com.flamingo.tests.graphql.GraphQLPositiveTest","shouldReturnListRespectingPaginationLimit","list query honors the pagination limit returns at most 2 movies when first=2",""
"failed","Mon Jul 20 18:51:34 UTC 2026","Mon Jul 20 18:51:38 UTC 2026","3866","","Student Parametrized tests","","com.flamingo.ui.tests.ParametrizedStudentRegistrationFormTests","userCanFillRegistrationFormAndSubmit","User can fill registration form and submit 2 — All fields",""
"passed","Mon Jul 20 18:50:41 UTC 2026","Mon Jul 20 18:50:47 UTC 2026","6070","","Booking — create","","com.flamingo.tests.rest.booking.CreateBookingTest","userCanCreateBooking","User can create booking",""
